positivePoints,negativePoints,commentText,like,dislike,"ارزش خريد در برابر قيمت","عملکرد سخت افزار داخلي و باتري","کيبورد و تاچ پد","کيفيت صفحه نمايش و بلندگوها","امکانات و قابليت ها","طراحي و کيفيت ساخت"
"مالتي مديا","سي پي يو و گرافيک به شدت پايين
صفحش ايينه هس و همه چيز پشت سرتون ديده ميشه, بايد تو زير زمين کار کرد باهاش","pes 17 رو با لگ فراوون باز کرد, داغ کردن هم خاصیتشه. به قول ضرب المثل ترکی: اوجوزلی عتین شورباسی اولماز...",5,5,4,2,5,4,4,2
"قدرت سخت افزاري",ندارد,"برای دانش جو ها خوبه",0,7,4,4,4,4,4,3
