positivePoints,negativePoints,commentText,like,dislike,"کيفيت ساخت","سرعت انتقال اطلاعات","ارزش خريد در برابر قيمت","طراحي و ظاهر","امکانات و قابليت‌ها"
,,"سرعتش خیلی پایین
و گارانتی و خدمات پس از فروشش فوق العاده ضعیفه",5,1,0,0,0,0,0
,,"سرعتش خیلی پایینه
گارانتی و خدمات پس از فروش هم خیلی ضعیفه
پشیمونم از خریدش",4,0,0,0,0,0,0
