aspect_id,keywords
1,ارزش قيمت پول 
2,ساخت صفحه نمایش بدنه
3,امکانات قابليت ویژگی
4,سهولت استفاده آسانی رابط کاربری
5,طراحي ظاهر شکل قیافه طراحی
6,نوآوري خلاقیت نوآوری
7,دوربین
8,باتری باطری 
15,سرعت
