id,title,price,userRate,recommendationCount,"کیفیت عمومی عکس و فیلم","کیفیت ساخت",ارگونومی,"امکانات و قابلیت ها","ارزش در برابر قیمت"
202777,"1,689,000","دوربين ديجيتال بدون آينه کانن مدل EOS M10 به همراه لنز 45-15 ميلي‌متر
Canon EOS M10 Mirrorless Digital Camera With 15-45mm Lens",۳.۴,0,3.4,3.4,3.3,3.3,3.3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
202162,"3,899,000","دوربين ديجيتال بدون آينه فوجي فيلم مدل X-T10 به همراه لنز 55-18 ميلي‌متر
Fujifilm X-T10 Mirrorless Digital Camera with 18-55mm Lens",۴,0,4.1,4.1,3.8,3.9,3.6,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
198102,"1,449,000","دوربين ديجيتال اليمپوس مدل TG-870
Olympus TG-870 Digital Camera",۳,0,2.8,3,3,3.5,2.5,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
196526,"429,000","دوربین دیجیتال پولاروید مدل iE-90
Polaroid iE-090 Digital Camera",۵,0,,,,,,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
196428,"453,000","دوربین عکاسی چاپ سریع پولاروید مدل Snap
Polaroid Snap Digital Camera",۲.۸,0,2.4,3.2,3,2.8,3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
191182,"2,535,000","دوربين ديجيتال نيکون مدل D5200 به همراه لنز 140 - 18 VR
Nikon D5200 Nikkor 18 - 140mm VR",۴,0,4,3.8,4,4,4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
184382,"540,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax mini 70
Fujifilm Instax mini 70 Digital Camera",۳.۵,0,3.5,3.5,3.5,3.5,3.4,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
184347,"420,000","دوربين عکاسي چاپ سريع فوجي فيلم مدل Instax mini Hello Kitty Limited Edition
Fujifilm Instax mini Hello Kitty Limited Edition Digital Camera",۳.۹,0,4,3.8,4,3.8,3.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
184039,"799,000","دوربين ديجيتال فوجي فيلم مدل Finepix XP90
Fujifilm Finepix XP90 Digital Camera",۲.۹,0,2.8,3,2.8,3,2.8,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
180645,"1,639,000","دوربين ديجيتال نيکون مدل D3400 kit 18-55mm VR
Nikon D3400 18-55mm VR Lens Kit Digital Camera",۳.۳,0,3.4,3.3,3.4,3.1,3,"دوربين عکاسي",دوربين,"کالاي ديجيتال","فروشگاه اینترنتی دیجی کالا"
